1,12.29,3.17
1,12.16,1.61
1,12.34,2.45
1,13.05,5.8
1,11.81,2.12
2,12.79,2.67
1,12.42,1.61
1,12.69,1.53
0,13.68,1.83
0,13.05,1.65
1,11.45,2.4
1,12.08,1.39
1,12.37,1.63
1,13.05,3.86
1,12.43,1.53
1,12.29,1.41
0,13.83,1.65
0,12.93,3.8
0,14.38,3.59
1,12,.92
0,14.02,1.68
1,12.29,2.83
1,12.07,2.16
0,13.76,1.53
0,13.07,1.5
1,11.64,2.06
0,14.22,1.7
0,13.74,1.67
1,12.37,1.07
1,12.08,1.13
1,12.42,4.43
1,13.03,.9
0,13.73,1.5
0,13.82,1.75
1,12.7,3.87
0,13.05,2.05
1,11.84,2.89
1,11.82,1.72
0,14.22,3.99
1,12.04,4.3
1,11.46,3.74
1,12.33,.99
0,13.5,1.81
1,12.72,1.81
0,13.56,1.73
0,14.21,4.04
1,11.62,1.99
0,14.19,1.59
0,13.05,1.77
0,13.3,1.72
0,13.88,1.89
1,12.25,1.73
1,12,3.43
1,11.65,1.67
1,12.08,1.83
1,12.08,1.33
0,13.64,3.1
1,11.56,2.05
1,11.87,4.31
0,13.56,1.71
0,13.28,1.64
1,12.42,2.55
1,11.61,1.35
1,11.84,.89
1,12.22,1.29
0,13.24,3.98
1,11.03,1.51
0,13.77,1.9
0,13.9,1.68
0,13.58,1.66
0,13.41,3.84
0,14.06,1.63
0,14.3,1.92
0,13.39,1.77
1,12.51,1.73
1,12.77,3.43
0,13.48,1.81
1,12.52,2.43
1,11.82,1.47
0,12.85,1.6
1,12.08,2.08
1,12.6,1.34
0,13.83,1.57
0,13.29,1.97
0,13.94,1.73
1,12,1.51
1,12.47,1.52
0,13.72,1.43
0,13.05,1.73
0,13.87,1.9
0,13.51,1.8
2,13.84,4.12
1,12.72,1.75
0,13.71,1.86
1,11.76,2.68
0,14.1,2.02
1,11.41,.74
1,12.67,.98
1,11.79,2.13
